@id	@type	@lat	@lon	name	name:en	place
245654272	node	18.9319334	72.8271436	Churchgate		neighbourhood
245654576	node	18.9429941	72.8262921	Navjeevan Wadi		neighbourhood
245657778	node	18.9759291	72.8393799	Mustafa Bazaar		neighbourhood
245658745	node	18.9914237	72.8364587	Lalbaug	Lalbaug	suburb
245658868	node	18.9911218	72.8548908	Priyadarshini Ambica Nagar		neighbourhood
245659295	node	18.9996351	72.8599349	Rajiv Gandhi Nagar		neighbourhood
245659664	node	19.0039990	72.8475097	Ambedkar Nagar		neighbourhood
245660130	node	19.0115373	72.8905892	Ambapada		neighbourhood
245660341	node	19.0157176	72.8655421	Korba Mithagar		neighbourhood
245660420	node	19.0137508	72.8654260	Lal Bahadur Shastri Nagar		neighbourhood
245660604	node	19.0173423	72.8674746	Panchsheel Nagar		neighbourhood
245660801	node	19.0192545	72.8689016	Barkat Ali Nagar		neighbourhood
245660883	node	19.0183290	72.9091655	Prayag Nagar		neighbourhood
245661244	node	19.0250002	72.9061681	Vishnu Nagar		neighbourhood
245661614	node	19.0255252	72.8891898	Sri Ganesh Patel Nagar		neighbourhood
245662182	node	19.0295314	72.8693989	CGS Colony		neighbourhood
245662657	node	19.0360956	72.8990875	BP Colony		neighbourhood
245662677	node	19.0350000	72.9449000	Payal Pada		neighbourhood
245662746	node	19.0364591	72.9508938	Upper Trombay		neighbourhood
245662755	node	19.0371475	72.8394547	Kapad Bazar		neighbourhood
245662803	node	19.0369905	72.8621647	Guru Tegh Bahadur Nagar		suburb
245662855	node	19.0332068	72.9488998	Trombay Koliwada		neighbourhood
245663132	node	19.0397000	72.9389000	TIFR Colony		neighbourhood
245663253	node	19.0454742	72.9067582	RCF Colony		neighbourhood
245663333	node	19.0412000	72.8481000	Bhatiya Nagar		neighbourhood
245663434	node	19.0432474	72.8918081	Collector Colony		neighbourhood
245663827	node	19.0463395	72.8410029	Fishermen Colony		neighbourhood
245663905	node	19.0445775	72.8901279	Vijay Nagar		neighbourhood
245663944	node	19.0463570	72.9025304	Borla Society		neighbourhood
245664026	node	19.0458988	72.8904687	VES HOSTEL		neighbourhood
245664135	node	19.0492112	72.9054038	Maitri Park		neighbourhood
245664144	node	19.0485257	72.8875786	Chembur Colony		neighbourhood
245664227	node	19.0498216	72.8602953	Kala Qila		neighbourhood
245664335	node	19.0492000	72.8788000	Mahatma Phule Nagar		neighbourhood
